Phi1	Phi	Phi2	X	Y
0.29458	1.46003	1.74097	80	10
0.2878	1.45374	1.73849	82	10
0.28681	1.45519	1.734	84	10
0.28383	1.44905	1.73118	86	10
0.28885	1.45693	1.7288	88	10
2.92732	1.3017	2.84171	90	10
2.92149	1.29192	2.84192	92	10
2.92634	1.2889	2.84189	94	10
2.92427	1.28936	2.8337	96	10
2.92853	1.28963	2.83544	98	10
2.92814	1.28718	2.83616	100	10
2.93078	1.28755	2.83483	102	10
2.93136	1.2905	2.8413	104	10
4.29234	2.60263	0.13709	106	10
4.29509	2.60539	0.14418	108	10
4.30583	2.60247	0.14782	110	10
4.13693	1.0368	4.79729	112	10
4.13442	1.03518	4.7966	114	10
4.1343	1.04074	4.79817	116	10
4.12979	1.04342	4.79819	118	10
4.14397	0.96801	2.05643	120	10
4.14158	0.96304	2.05521	122	10
4.14634	0.96365	2.05207	124	10
4.13682	0.94895	2.05491	126	10
4.13735	0.94911	2.06303	128	10
4.13438	0.94793	2.05804	130	10
4.13643	0.94617	2.05375	132	10
4.13467	0.94594	2.057	134	10
2.81754	1.34434	2.32113	136	10
4.54132	0.83823	1.30101	138	10
4.5402	0.83168	1.29367	140	10
0.96294	0.60994	0.97658	142	10
0.27535	2.05976	4.33782	144	10
1.07409	0.6262	0.73571	146	10
1.92735	2.02755	2.02861	148	10
1.92947	2.02517	3.60415	150	10
1.92534	2.0249	3.60352	152	10
1.91758	2.02853	3.59889	154	10
1.9321	2.03121	3.60542	156	10
5.0751	1.12206	1.09661	158	10
0.52842	2.59004	4.69703	160	10
0.52149	2.58526	4.69091	162	10
0.5201	2.58587	4.69423	164	10
0.51776	2.5819	4.69559	166	10
0.51649	2.58399	4.69464	168	10
0.51356	2.58256	4.69158	170	10
0.51716	2.58636	4.69437	172	10
0.51836	2.58382	4.69219	174	10
0.51569	2.58321	4.68856	176	10
0.51617	2.58229	4.69041	178	10
0.51797	2.58338	4.69189	180	10
0.5151	2.58411	4.69343	182	10
0.51419	2.5819	4.69255	184	10
0.5167	2.58261	4.68846	186	10
0.51535	2.58688	4.6908	188	10
0.51582	2.58165	4.69127	190	10
