X	Y	phi1	phi	phi2
10.0	128.0	4.55897	0.88253	1.93636
10.0	130.0	4.5652	0.88153	1.93308
10.0	132.0	4.56473	0.88098	1.93982
10.0	134.0	4.56888	0.88886	1.93098
10.0	136.0	4.5687	0.87761	1.92654
10.0	138.0	4.12447	0.87098	2.43154
10.0	140.0	2.75761	0.48263	2.85174
10.0	142.0	2.75507	0.48577	2.85703
10.0	144.0	2.76327	0.47969	2.85253
10.0	146.0	2.76317	0.48692	2.85211
10.0	148.0	2.75658	0.48311	2.86028
10.0	150.0	2.43892	2.03484	6.13504
10.0	152.0	2.43856	2.0381	6.12934
10.0	154.0	2.4335	2.04565	6.12924
10.0	156.0	4.10777	0.90544	2.26047
10.0	158.0	4.10672	0.90553	2.26462
10.0	160.0	4.10492	0.90418	2.26235
10.0	162.0	0.98413	2.23599	2.46161
10.0	164.0	0.96613	2.23553	2.44862
10.0	166.0	1.92932	1.98212	2.02859
10.0	168.0	0.14497	1.97115	4.24294
10.0	170.0	0.14459	1.96312	4.24702
10.0	172.0	1.90953	1.99577	3.58441
10.0	174.0	1.90936	1.99687	3.57824
10.0	176.0	1.90444	1.99551	3.57916
10.0	178.0	1.90534	1.99566	3.5794
10.0	180.0	1.90191	1.99599	3.57899
10.0	182.0	1.90954	1.99482	3.58468
10.0	184.0	1.91371	1.99511	3.5875
10.0	186.0	1.92701	1.98482	2.0323
10.0	188.0	3.19692	1.55743	2.31767
10.0	190.0	3.19686	1.56044	5.4574
10.0	192.0	1.91292	1.99807	3.58776
12.0	0.0	1.61535	1.9345	3.48979
12.0	2.0	1.61032	1.93244	3.48868
12.0	4.0	1.614	1.9368	3.49283
12.0	6.0	1.61125	1.93979	3.48837
12.0	8.0	5.62656	1.55496	3.01062
12.0	10.0	5.61109	1.55179	3.01844
12.0	12.0	0.8984	1.6917	1.54981
12.0	14.0	0.89175	1.69536	1.5338
12.0	16.0	0.88558	1.69108	1.53956
12.0	18.0	0.89041	1.69297	1.53383
12.0	20.0	0.89236	1.69172	1.53504
12.0	22.0	0.89145	1.69382	1.53783
12.0	24.0	0.89032	1.69265	1.53389
12.0	26.0	0.89017	1.69448	1.53563
12.0	28.0	0.88722	1.69399	1.53855
12.0	30.0	0.88163	1.69817	1.54311
12.0	32.0	0.66388	1.7855	1.49957
12.0	34.0	5.38774	1.48695	2.93412
12.0	36.0	5.38981	1.49749	2.93483
12.0	38.0	5.38486	1.4917	2.93884
12.0	40.0	5.38629	1.49559	2.93571
12.0	42.0	5.38534	1.49479	2.93697
12.0	44.0	5.38411	1.49232	2.94001
12.0	46.0	0.64975	1.76929	1.48701
